epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,19069,0.31654,0.22654,0.84301,0.99868,1,0.995,0.90775,0.45462,0.19835,0.76363,0.0003962,0.0003962,0.0003962
83,19157.6,0.30866,0.22127,0.83987,0.99869,1,0.995,0.92236,0.40622,0.19494,0.75475,0.0003764,0.0003764,0.0003764
84,19249,0.28595,0.20714,0.82481,0.99871,1,0.995,0.91142,0.44113,0.20598,0.76429,0.0003566,0.0003566,0.0003566
85,19337.7,0.29902,0.22068,0.82472,0.9987,1,0.995,0.91436,0.43898,0.1981,0.76159,0.0003368,0.0003368,0.0003368
86,19427.2,0.28402,0.20685,0.82256,0.99869,1,0.995,0.90446,0.47104,0.21413,0.76916,0.000317,0.000317,0.000317
87,19515.1,0.30179,0.2125,0.84444,0.99869,1,0.995,0.90467,0.46846,0.22312,0.76904,0.0002972,0.0002972,0.0002972
88,19604.3,0.2766,0.20296,0.83756,0.99869,1,0.995,0.8956,0.47372,0.2243,0.77188,0.0002774,0.0002774,0.0002774
89,19693.2,0.28322,0.2024,0.83318,0.99869,1,0.995,0.91781,0.40217,0.1951,0.7607,0.0002576,0.0002576,0.0002576
90,19782.3,0.29418,0.21791,0.83431,0.99869,1,0.995,0.90742,0.43264,0.19597,0.76612,0.0002378,0.0002378,0.0002378
91,19871.9,0.23076,0.17416,0.80659,0.9987,1,0.995,0.92435,0.42353,0.19135,0.76169,0.000218,0.000218,0.000218
92,19961.4,0.2174,0.17456,0.79124,0.9987,1,0.995,0.9014,0.46327,0.19798,0.76794,0.0001982,0.0001982,0.0001982
93,20050.9,0.2392,0.17825,0.79337,0.99869,1,0.995,0.91148,0.46237,0.21611,0.76953,0.0001784,0.0001784,0.0001784
94,20138.9,0.22388,0.16437,0.8025,0.99871,1,0.995,0.90529,0.473,0.21689,0.77203,0.0001586,0.0001586,0.0001586
95,20230.8,0.22401,0.16917,0.80174,0.9987,1,0.995,0.91693,0.4512,0.21882,0.76682,0.0001388,0.0001388,0.0001388
96,20324.1,0.21876,0.16404,0.79327,0.99869,1,0.995,0.91519,0.44171,0.2092,0.7657,0.000119,0.000119,0.000119
97,20409.4,0.21025,0.16142,0.79175,0.9987,1,0.995,0.90462,0.44365,0.20378,0.76568,9.92e-05,9.92e-05,9.92e-05
98,20498.7,0.20488,0.15511,0.78851,0.99871,1,0.995,0.91585,0.41339,0.19791,0.75849,7.94e-05,7.94e-05,7.94e-05
99,20586.6,0.20073,0.15808,0.79671,0.9987,1,0.995,0.91279,0.41597,0.19034,0.75845,5.96e-05,5.96e-05,5.96e-05
100,20695.3,0.19155,0.15394,0.78425,0.99871,1,0.995,0.91302,0.41513,0.18684,0.75788,3.98e-05,3.98e-05,3.98e-05
